1	0.494606	0.008383	1.000
2	0.323251	0.045678	1.530
3	0.313139	0.022130	1.580
4	0.277081	0.009539	1.785
5	0.275391	0.016800	1.796
6	0.329275	0.032340	1.502
7	0.298318	0.036066	1.658
8	0.274254	0.017586	1.803
9	0.272004	0.014969	1.818
10	0.267651	0.011602	1.848
11	0.267688	0.012349	1.848
12	0.276814	0.020612	1.787
13	0.264802	0.010632	1.868
14	0.286878	0.020467	1.724
15	0.291675	0.018469	1.696
16	0.288693	0.020214	1.713
17	0.279984	0.016719	1.767
18	0.265280	0.006143	1.864
19	0.269445	0.010851	1.836
20	0.266178	0.008750	1.858
21	0.278339	0.008000	1.777
22	0.274963	0.007820	1.799
23	0.278066	0.011681	1.779
24	0.280886	0.013416	1.761
25	0.300831	0.016129	1.644
26	0.294729	0.015597	1.678
27	0.294290	0.013622	1.681
28	0.289952	0.011191	1.706
29	0.289096	0.012776	1.711
30	0.287203	0.035122	1.722
